     1     -1  21087 3.182000E-06 3.182000E-06 6.364000E-06 2.899633E-16 0.000000E+00
     2     -1  21086 3.182000E-06 3.182000E-06 6.364000E-06 2.899633E-16 0.000000E+00
     3  21078      0 3.182000E-06 3.182000E-06 7.115168E-06 1.610907E-16 0.000000E+00
     4     -1  21064 3.182000E-06 3.182000E-06 6.364000E-06 2.899633E-16 0.000000E+00
     5     -1  21059 3.182000E-06 3.182000E-06 9.546000E-06 6.765810E-16 0.000000E+00
     6  21052      0 3.182000E-06 3.182000E-06 9.000055E-06 4.188359E-16 0.000000E+00
     7  21048      0 3.182000E-06 3.182000E-06 5.511386E-06 2.899633E-16 0.000000E+00
     8  21041      0 3.182000E-06 3.182000E-06 9.546000E-06 6.765810E-16 0.000000E+00
     9     -1  21038 3.182000E-06 3.182000E-06 7.115168E-06 1.610907E-16 0.000000E+00
    10     -1  21036 3.182000E-06 3.182000E-06 6.364000E-06 3.221814E-17 0.000000E+00
    11     -1  21035 3.182000E-06 3.182000E-06 7.794276E-06 2.899633E-16 0.000000E+00
    12     -1  21032 3.182000E-06 3.182000E-06 9.546000E-06 6.765810E-16 0.000000E+00
    13  21029      0 3.182000E-06 3.182000E-06 7.794276E-06 2.899633E-16 0.000000E+00
    14  21025      0 3.182000E-06 3.182000E-06 5.511386E-06 2.899633E-16 0.000000E+00
    15  21023      0 1.311972E-05 1.311972E-05 4.500028E-06 1.610907E-16 0.000000E+00
    16  21018      0 7.115168E-06 7.115168E-06 4.500028E-06 1.610907E-16 0.000000E+00
    17  21014      0 3.182000E-06 3.182000E-06 5.511386E-06 2.899633E-16 0.000000E+00
    18  21013      0 7.115168E-06 7.115168E-06 4.500028E-06 9.665443E-17 0.000000E+00
    19  21010      0 2.062172E-05 2.062172E-05 9.546000E-06 3.221814E-17 0.000000E+00
    20  21009      0 3.182000E-06 3.182000E-06 6.364000E-06 2.899633E-16 0.000000E+00
    21  21008      0 3.182000E-06 3.182000E-06 9.000055E-06 4.188359E-16 0.000000E+00
    22  21005      0 3.182000E-06 3.182000E-06 9.546000E-06 6.765810E-16 0.000000E+00
    23  20999      0 3.182000E-06 3.182000E-06 5.511386E-06 2.899633E-16 0.000000E+00
    24     -1  20997 3.182000E-06 3.182000E-06 6.364000E-06 2.899633E-16 0.000000E+00
    25  20992      0 3.182000E-06 3.182000E-06 5.511386E-06 2.899633E-16 0.000000E+00
    26  20986      0 3.182000E-06 3.182000E-06 9.546000E-06 6.765810E-16 0.000000E+00
    27     -1  20980 1.311972E-05 1.311972E-05 6.364000E-06 3.221814E-17 0.000000E+00
    28  20976      0 3.182000E-06 3.182000E-06 9.000055E-06 4.188359E-16 0.000000E+00
    29     -1  20975 3.182000E-06 3.182000E-06 6.364000E-06 3.221814E-17 0.000000E+00
    30  20971      0 3.182000E-06 3.182000E-06 1.272800E-05 3.221814E-17 0.000000E+00
    31     -1  20970 3.182000E-06 3.182000E-06 5.511386E-06 2.899633E-16 0.000000E+00
    32     -1  20968 3.182000E-06 3.182000E-06 6.364000E-06 2.899633E-16 0.000000E+00
    33  20967      0 3.182000E-06 3.182000E-06 1.055350E-05 2.577452E-16 0.000000E+00
    34     -1  20966 2.870827E-05 2.870827E-05 6.364000E-06 2.899633E-16 0.000000E+00
    35     -1  20964 3.182000E-06 3.182000E-06 9.546000E-06 6.765810E-16 0.000000E+00
    36  20962      0 3.182000E-06 3.182000E-06 7.115168E-06 1.610907E-16 0.000000E+00
    37     -1  20960 1.713559E-05 1.713559E-05 9.546000E-06 3.221814E-17 0.000000E+00
    38  20957      0 3.182000E-06 3.182000E-06 6.364000E-06 2.899633E-16 0.000000E+00
    39     -1  20936 3.182000E-06 3.182000E-06 1.145520E-04 3.221814E-17 0.000000E+00
    40     -1  20935 2.216112E-04 2.216112E-04 6.364000E-06 3.221814E-17 0.000000E+00
    41     -1  20934 1.010755E-04 1.010755E-04 2.250014E-05 1.610907E-16 0.000000E+00
    42     -1  20921 3.182000E-06 3.182000E-06 5.727600E-05 3.511778E-15 0.000000E+00
    43  20880      0 1.584273E-04 1.584273E-04 1.311972E-05 1.610907E-16 0.000000E+00
    44  20848      0 1.598510E-04 1.598510E-04 1.102277E-05 2.899633E-16 0.000000E+00
    45  20841      0 3.182000E-06 3.182000E-06 4.698167E-05 2.223052E-15 0.000000E+00
    46  20840      0 1.870799E-04 1.870799E-04 1.147286E-05 3.866177E-16 0.000000E+00
    47     -1  20823 1.750785E-04 1.750785E-04 2.545600E-05 1.449817E-15 0.000000E+00
    48  20821      0 3.533838E-04 3.533838E-04 1.055350E-05 2.899633E-16 0.000000E+00
    49     -1  20785 1.792140E-04 1.792140E-04 2.227400E-05 1.449817E-15 0.000000E+00
    50  20783      0 3.523340E-04 3.523340E-04 1.961517E-05 2.899633E-16 0.000000E+00
    51     -1  20733 4.857112E-05 4.857112E-05 9.546000E-06 6.765810E-16 0.000000E+00
    52     -1  20732 7.157732E-05 7.157732E-05 2.792194E-05 1.449817E-15 0.000000E+00
    53  20684      0 6.003786E-05 6.003786E-05 2.402357E-05 8.054536E-16 0.000000E+00
    54  20683      0 3.182000E-06 3.182000E-06 3.923033E-05 8.054536E-16 0.000000E+00
    55  20672      0 8.587423E-05 8.587423E-05 1.311972E-05 1.610907E-16 0.000000E+00
    56  20671      0 3.182000E-06 3.182000E-06 3.818400E-05 2.223052E-15 0.000000E+00
    57     -1  20653 1.002991E-04 1.002991E-04 7.115168E-06 1.610907E-16 0.000000E+00
    58  20519      0 5.901731E-05 5.901731E-05 1.350008E-05 2.899633E-16 0.000000E+00
    59  20518      0 1.701985E-04 1.701985E-04 4.500028E-06 1.288726E-16 0.000000E+00
    60  20510      0 3.182000E-06 3.182000E-06 3.514634E-05 1.610907E-16 0.000000E+00
    61     -1  20503 8.227555E-05 8.227555E-05 4.500028E-06 9.665443E-17 0.000000E+00
    62     -1  20502 3.182000E-06 3.182000E-06 4.269101E-05 1.192071E-15 0.000000E+00
    63     -1  20482 3.182000E-06 3.182000E-06 5.011019E-05 2.223052E-15 0.000000E+00
    64     -1  20462 8.456064E-05 8.456064E-05 4.500028E-06 9.665443E-17 0.000000E+00
    65     -1  20459 3.182000E-06 3.182000E-06 3.724436E-05 1.578689E-15 0.000000E+00
    66  20451      0 1.357543E-04 1.357543E-04 6.364000E-06 2.899633E-16 0.000000E+00
    67  20448      0 5.286335E-05 5.286335E-05 1.935535E-05 1.610907E-16 0.000000E+00
    68     -1  20440 1.949114E-04 1.949114E-04 1.190595E-05 6.765810E-16 0.000000E+00
    69     -1  20430 1.195337E-04 1.195337E-04 3.182000E-06 9.665443E-17 0.000000E+00
    70     -1  20428 3.683431E-05 3.683431E-05 4.500028E-06 1.288726E-16 0.000000E+00
    71     -1  20423 1.140688E-04 1.140688E-04 4.500028E-06 1.288726E-16 0.000000E+00
    72     -1  20394 5.228560E-05 5.228560E-05 1.909200E-05 1.192071E-15 0.000000E+00
    73     -1  20393 4.654865E-05 4.654865E-05 9.000055E-06 4.188359E-16 0.000000E+00
    74     -1  20355 6.595509E-05 6.595509E-05 4.500028E-06 9.665443E-17 0.000000E+00
    75  20333      0 5.638518E-05 5.638518E-05 1.827920E-05 8.054536E-16 0.000000E+00
    76  20332      0 4.980618E-05 4.980618E-05 9.546000E-06 3.221814E-17 0.000000E+00
    77  20300      0 3.182000E-06 3.182000E-06 3.276070E-05 6.765810E-16 0.000000E+00
    78  20296      0 3.182000E-06 3.182000E-06 3.276070E-05 6.765810E-16 0.000000E+00
    79     -1  20287 1.165811E-04 1.165811E-04 1.622508E-05 1.610907E-16 0.000000E+00
    80  20279      0 4.050025E-05 4.050025E-05 9.000055E-06 3.866177E-16 0.000000E+00
    81  20277      0 1.269596E-04 1.269596E-04 1.827920E-05 8.054536E-16 0.000000E+00
    82  20276      0 3.182000E-06 3.182000E-06 3.884126E-05 6.765810E-16 0.000000E+00
    83     -1  20230 9.655751E-05 9.655751E-05 1.190595E-05 6.765810E-16 0.000000E+00
    84     -1  20229 3.614057E-05 3.614057E-05 4.500028E-06 1.288726E-16 0.000000E+00
    85     -1  20228 5.910303E-05 5.910303E-05 2.545600E-05 1.449817E-15 0.000000E+00
    86     -1  20207 5.071274E-05 5.071274E-05 1.591000E-05 9.343262E-16 0.000000E+00
    87     -1  20182 3.182000E-06 3.182000E-06 3.818400E-05 2.223052E-15 0.000000E+00
    88     -1  20177 3.857970E-05 3.857970E-05 4.500028E-06 9.665443E-17 0.000000E+00
    89     -1  20176 9.699249E-05 9.699249E-05 9.000055E-06 4.188359E-16 0.000000E+00
    90     -1  20136 6.809777E-05 6.809777E-05 2.565410E-05 1.610907E-16 0.000000E+00
    91     -1  20123 3.182000E-06 3.182000E-06 4.466150E-05 1.610907E-16 0.000000E+00
    92     -1  20000 1.160650E-04 1.160650E-04 9.000055E-06 4.188359E-16 0.000000E+00
    93  19998      0 3.182000E-06 3.182000E-06 4.567029E-05 1.192071E-15 0.000000E+00
    94     -1  19976 4.161005E-05 4.161005E-05 7.794276E-06 2.899633E-16 0.000000E+00
    95  19947      0 3.557584E-05 3.557584E-05 6.364000E-06 2.899633E-16 0.000000E+00
    96  19946      0 3.182000E-06 3.182000E-06 3.182000E-05 1.965307E-15 0.000000E+00
    97  19934      0 3.557584E-05 3.557584E-05 5.511386E-06 2.577452E-16 0.000000E+00
    98  19931      0 3.182000E-06 3.182000E-06 3.018710E-05 9.343262E-16 0.000000E+00
    99  19841      0 9.623256E-05 9.623256E-05 6.364000E-06 2.899633E-16 0.000000E+00
   100     -1  19797 9.690319E-05 9.690319E-05 7.115168E-06 1.288726E-16 0.000000E+00
   101     -1  19785 3.182000E-06 3.182000E-06 2.933659E-05 4.188359E-16 0.000000E+00
   102     -1  19784 3.182000E-06 3.182000E-06 3.456537E-05 1.965307E-15 0.000000E+00
   103     -1  19761 8.013876E-05 8.013876E-05 1.458176E-05 6.765810E-16 0.000000E+00
   104     -1  19760 5.593446E-05 5.593446E-05 1.827920E-05 8.054536E-16 0.000000E+00
   105  19755      0 1.802128E-04 1.802128E-04 4.500028E-06 1.288726E-16 0.000000E+00
   106     -1  19748 3.182000E-06 3.182000E-06 5.091200E-05 3.125160E-15 0.000000E+00
   107  19711      0 9.286062E-05 9.286062E-05 1.311972E-05 1.288726E-16 0.000000E+00
   108     -1  19687 1.235494E-04 1.235494E-04 1.909200E-05 3.221814E-17 0.000000E+00
   109     -1  19685 1.055648E-04 1.055648E-04 6.364000E-06 2.899633E-16 0.000000E+00
   110     -1  19682 3.182000E-06 3.182000E-06 2.881424E-05 1.610907E-16 0.000000E+00
   111     -1  19675 3.514634E-05 3.514634E-05 6.364000E-06 2.899633E-16 0.000000E+00
   112     -1  19665 3.557584E-05 3.557584E-05 7.115168E-06 9.665443E-17 0.000000E+00
   113  19635      0 5.867318E-05 5.867318E-05 1.272800E-05 6.765810E-16 0.000000E+00
   114     -1  19619 3.182000E-06 3.182000E-06 2.950865E-05 6.765810E-16 0.000000E+00
   115     -1  19614 3.182000E-06 3.182000E-06 2.863800E-05 1.836434E-15 0.000000E+00
   116     -1  19613 3.182000E-06 3.182000E-06 4.567029E-05 1.192071E-15 0.000000E+00
   117  19612      0 3.182000E-06 3.182000E-06 2.863800E-05 1.836434E-15 0.000000E+00
   118  19611      0 3.857970E-05 3.857970E-05 6.364000E-06 2.899633E-16 0.000000E+00
   119     -1  19595 3.182000E-06 3.182000E-06 2.863800E-05 1.836434E-15 0.000000E+00
   120  19590      0 3.382512E-05 3.382512E-05 5.511386E-06 2.577452E-16 0.000000E+00
   121  19589      0 4.148820E-05 4.148820E-05 1.147286E-05 4.188359E-16 0.000000E+00
   122  19576      0 1.084116E-04 1.084116E-04 9.000055E-06 4.188359E-16 0.000000E+00
   123     -1  19568 7.713247E-05 7.713247E-05 7.115168E-06 1.288726E-16 0.000000E+00
   124  19559      0 3.182000E-06 3.182000E-06 4.351320E-05 1.965307E-15 0.000000E+00
   125     -1  19531 1.367513E-04 1.367513E-04 6.364000E-06 2.899633E-16 0.000000E+00
   126     -1  19530 1.118850E-04 1.118850E-04 7.115168E-06 1.610907E-16 0.000000E+00
   127     -1  19495 1.337615E-04 1.337615E-04 1.190595E-05 6.765810E-16 0.000000E+00
   128  19484      0 1.044444E-04 1.044444E-04 7.115168E-06 1.610907E-16 0.000000E+00
   129  19469      0 3.182000E-06 3.182000E-06 3.337310E-05 1.192071E-15 0.000000E+00
   130  19458      0 5.844189E-05 5.844189E-05 4.500028E-06 1.288726E-16 0.000000E+00
   131  19421      0 3.182000E-06 3.182000E-06 3.514634E-05 1.610907E-16 0.000000E+00
   132  19404      0 7.294176E-05 7.294176E-05 4.500028E-06 9.665443E-17 0.000000E+00
   133  19403      0 7.666544E-05 7.666544E-05 6.364000E-06 3.221814E-17 0.000000E+00
   134  19369      0 5.745251E-05 5.745251E-05 2.250014E-05 1.610907E-16 0.000000E+00
