 29084  3.360000E-03  3.360000E-03  3.360000E-03
     1 7.896000E-04 1.120000E-05 1.232000E-04   1	 9576	    0	    0	 1496
     2 1.752800E-03 1.848000E-04 6.720000E-04   1	16097	    0	    0	 1520
     3 1.792000E-03 1.876000E-03 1.391600E-03   1	25202	    0	    0	 1521
     4 1.744400E-03 1.932000E-04 4.760000E-04   1	13623	    0	    0	 1556
     5 3.948000E-04 2.447200E-03 3.348800E-03   2	10869	27817	    0	    0	 1674	 1673
     6 3.318000E-03 2.511600E-03 1.131200E-03   2	13671	    0	    0	    1	 1711	 1481
     7 3.337600E-03 3.780000E-04 1.338400E-03   2	    0	24053	    0	    1	 1480	 1812
     8 1.688400E-03 2.948400E-03 6.608000E-04   1	25909	    0	    0	 1841
     9 1.736000E-03 2.240000E-03 3.214400E-03   1	12975	    0	    0	 1948
    10 1.226400E-03 1.696800E-03 2.368800E-03   1	28007	    0	    0	 1958
    11 5.880000E-04 2.735600E-03 5.600000E-06   1	 6403	    0	    0	 1981
    12 9.296000E-04 1.820000E-04 1.576400E-03   1	26351	    0	    0	 2006
    13 1.531600E-03 3.351600E-03 2.083200E-03   1	 7703	    0	    0	 2008
    14 1.904000E-03 3.164000E-03 3.161200E-03   1	27163	    0	    0	 2153
    15 2.206400E-03 1.932000E-03 1.680000E-03   1	22356	    0	    0	 2180
    16 1.450400E-03 1.750000E-03 5.600000E-06   2	18082	 2373	    0	    0	 1926	 2188
    17 3.892000E-04 1.680000E-03 1.932000E-03   1	27745	    0	    0	 2195
    18 5.600000E-06 2.996000E-03 3.096800E-03   2	26956	   -1	    1	    0	 2231	 1479
    19 2.965200E-03 7.168000E-04 3.236800E-03   1	20475	    0	    0	 2254
    20 3.080000E-04 2.660000E-03 4.452000E-04   1	 4583	    0	    0	 2288
    21 1.820000E-03 1.691200E-03 1.447600E-03   1	22753	    0	    0	 2292
    22 3.242400E-03 3.043600E-03 3.343200E-03   1	14200	    0	    0	 2295
    23 9.828000E-04 2.542400E-03 2.685200E-03   1	20791	    0	    0	 2335
    24 2.926000E-03 3.096800E-03 1.036000E-03   1	17021	    0	    0	 2343
    25 2.357600E-03 1.027600E-03 1.117200E-03   1	 2022	    0	    0	 2396
    26 6.636000E-04 3.360000E-04 1.470000E-03   1	12651	    0	    0	 2444
    27 8.708000E-04 1.881600E-03 1.537200E-03   1	 8120	    0	    0	 2487
    28 3.110800E-03 2.536800E-03 1.299200E-03   1	20952	    0	    0	 2533
    29 9.296000E-04 6.440000E-05 1.013600E-03   1	 6528	    0	    0	 2555
    30 1.162000E-03 3.178000E-03 2.072000E-03   1	26046	    0	    0	 2639
    31 1.481200E-03 1.937600E-03 2.186800E-03   2	27417	20697	    0	    0	 2651	 2522
    32 1.260000E-04 3.248000E-03 2.262400E-03   1	 1867	    0	    0	 2700
    33 9.604000E-04 5.600000E-06 1.948800E-03   1	16570	    0	    0	 2758
    34 1.414000E-03 3.024000E-04 2.088800E-03   1	15162	    0	    0	 2765
    35 3.071600E-03 7.392000E-04 2.382800E-03   1	18195	    0	    0	 2793
    36 3.164000E-04 3.225600E-03 3.920000E-05   1	27488	    0	    0	 2915
    37 1.204000E-03 6.468000E-04 3.351600E-03   1	 1819	    0	    0	 3002
    38 1.069600E-03 3.752000E-04 2.884000E-04   2	25544	13443	    0	    0	 2393	 3008
    39 3.032400E-03 2.688000E-04 1.106000E-03   1	22221	    0	    0	 3018
    40 2.867200E-03 2.724400E-03 1.397200E-03   1	 4507	    0	    0	 3057
    41 5.600000E-06 2.240000E-05 5.768000E-04   2	 2907	   -1	    1	    0	 3120	 1478
    42 3.024000E-03 2.506000E-03 1.388800E-03   1	20952	    0	    0	 3178
    43 3.348800E-03 2.287600E-03 8.400000E-06   3	11244	 7427	    0	    0	    1	 1993	 3225	 1477
    44 1.859200E-03 3.343200E-03 3.052000E-03   1	 8983	    0	    0	 3247
    45 3.250800E-03 2.497600E-03 1.148000E-03   1	18291	    0	    0	 3269
    46 8.400000E-06 3.088400E-03 1.481200E-03   2	16942	   -1	    1	    0	 3273	 1476
    47 3.066000E-03 2.660000E-04 1.181600E-03   1	  214	    0	    0	 3302
    48 3.256400E-03 1.271200E-03 3.351600E-03   1	 5642	    0	    0	 3312
    49 1.176000E-03 3.346000E-03 3.127600E-03   2	  911	 8687	    0	    0	 3317	 1757
    50 8.960000E-05 8.400000E-06 2.142000E-03   1	24247	    0	    0	 3341
    51 1.296400E-03 8.344000E-04 3.169600E-03   1	21408	    0	    0	 3351
    52 2.228800E-03 1.988000E-04 3.351600E-03   1	12197	    0	    0	 3416
    53 4.312000E-04 3.164000E-04 1.853600E-03   1	 9604	    0	    0	 3428
    54 3.080000E-05 3.175200E-03 3.337600E-03   2	 9452	   -1	    1	    0	 3443	 1475
    55 3.150000E-03 1.985200E-03 1.316000E-03   1	24607	    0	    0	 3482
    56 1.377600E-03 3.528000E-04 5.348000E-04   1	27295	    0	    0	 3496
    57 2.965200E-03 1.215200E-03 5.600000E-06   1	 8967	    0	    0	 3507
    58 1.705200E-03 3.060400E-03 9.296000E-04   1	23491	    0	    0	 3557
    59 3.259200E-03 2.240000E-05 8.092000E-04   1	11562	    0	    0	 3618
    60 8.204000E-04 2.898000E-03 2.788800E-03   2	 7425	22526	    0	    0	 3390	 3660
    61 1.122800E-03 2.436000E-03 1.632400E-03   2	22517	23656	    0	    0	 3674	 2950
    62 2.304400E-03 1.786400E-03 3.217200E-03   2	 6019	28030	    0	    0	 3679	 2171
    63 2.058000E-03 9.660000E-04 3.220000E-03   2	25065	28220	    0	    0	 2190	 3791
    64 1.906800E-03 1.526000E-03 9.940000E-04   1	 4204	    0	    0	 3839
    65 2.242800E-03 1.764000E-03 3.180800E-03   1	28030	    0	    0	 3857
    66 1.383200E-03 5.600000E-06 7.252000E-04   3	26248	21093	20555	    0	    0	 3862	 1524	 3820
    67 2.632000E-03 4.704000E-04 1.890000E-03   1	21505	    0	    0	 3932
    68 3.012800E-03 2.609600E-03 7.560000E-04   1	15070	    0	    0	 3964
    69 2.609600E-03 2.853200E-03 3.228400E-03   2	 8399	21645	    0	    0	 3675	 3968
    70 2.668400E-03 1.159200E-03 2.870000E-03   3	28360	14301	23830	    0	    0	 3974	 2098	 1489
    71 3.348800E-03 3.144400E-03 2.749600E-03   2	 3866	    0	    0	    1	 3975	 1474
    72 1.733200E-03 1.873200E-03 6.552000E-04   2	21669	17069	    0	    0	 4040	 2730
    73 2.478000E-03 2.620800E-03 3.920000E-05   1	19478	    0	    0	 4090
    74 2.721600E-03 2.346400E-03 1.727600E-03   1	24343	    0	    0	 4171
    75 6.020000E-04 1.464400E-03 6.664000E-04   2	25261	 9268	    0	    0	 3769	 4208
    76 3.276000E-03 1.646400E-03 2.206400E-03   2	11811	  679	    0	    0	 1961	 4217
    77 1.870400E-03 3.124800E-03 1.355200E-03   1	27284	    0	    0	 4228
