  3878  1.280000E-03  1.280000E-03  1.280000E-03
     1 4.992000E-04 1.145600E-03 7.616000E-04   1	 2733	    0	    0	  366
     2 1.129600E-03 3.552000E-04 9.920000E-05   1	 3304	    0	    0	  372
     3 1.244800E-03 9.600000E-06 2.592000E-04   2	  132	    0	    0	    1	  373	  360
     4 8.320000E-04 9.600000E-06 3.200000E-06   1	    5	    0	    0	  374
     5 9.056000E-04 5.760000E-05 9.600000E-06   1	    4	    0	    0	  374
     6 9.600000E-06 4.608000E-04 1.059200E-03   2	 3109	   -1	    1	    0	  388	  359
     7 6.624000E-04 1.504000E-04 1.270400E-03   1	   21	    0	    0	  396
     8 1.273600E-03 8.384000E-04 2.560000E-04   2	    0	  794	    0	    1	  358	  397
     9 1.504000E-04 9.632000E-04 9.280000E-04   1	 1118	    0	    0	  410
    10 1.728000E-04 1.273600E-03 7.584000E-04   1	 1798	    0	    0	  415
    11 9.696000E-04 1.267200E-03 3.872000E-04   1	 2082	    0	    0	  425
    12 1.049600E-03 5.696000E-04 7.456000E-04   1	 3141	    0	    0	  428
    13 3.584000E-04 9.728000E-04 5.856000E-04   1	 2985	    0	    0	  430
    14 4.480000E-05 1.600000E-05 1.190400E-03   1	 1284	    0	    0	  431
    15 8.352000E-04 1.126400E-03 5.440000E-04   1	 2373	    0	    0	  435
    16 1.270400E-03 7.424000E-04 3.136000E-04   2	    0	 2408	    0	    1	  357	  436
    17 1.200000E-03 3.360000E-04 7.552000E-04   1	 3176	    0	    0	  442
    18 4.960000E-04 1.008000E-03 5.440000E-04   1	 3118	    0	    0	  457
    19 5.888000E-04 1.235200E-03 5.248000E-04   2	 2983	 1809	    0	    0	  444	  458
    20 7.296000E-04 4.512000E-04 9.600000E-06   1	 3155	    0	    0	  467
    21 6.432000E-04 1.184000E-04 1.238400E-03   2	 1338	    7	    0	    0	  468	  396
    22 1.052800E-03 1.027200E-03 6.048000E-04   1	 1393	    0	    0	  494
    23 9.120000E-04 2.368000E-04 7.552000E-04   1	  128	    0	    0	  498
    24 8.416000E-04 1.280000E-05 6.400000E-04   1	 3100	    0	    0	  499
    25 1.600000E-05 3.200000E-06 2.656000E-04   1	  629	    0	    0	  512
    26 1.084800E-03 3.200000E-06 5.152000E-04   1	 1775	    0	    0	  520
    27 1.248000E-03 1.072000E-03 1.257600E-03   2	  194	    0	    0	    1	  521	  356
    28 1.184000E-03 4.736000E-04 1.600000E-05   1	 1907	    0	    0	  525
    29 5.664000E-04 4.128000E-04 6.880000E-04   1	 2190	    0	    0	  536
    30 3.904000E-04 6.400000E-06 3.904000E-04   1	 2695	    0	    0	  551
    31 3.008000E-04 9.536000E-04 6.624000E-04   1	 3079	    0	    0	  552
    32 6.912000E-04 5.632000E-04 4.416000E-04   1	 3426	    0	    0	  566
    33 1.273600E-03 9.824000E-04 1.024000E-04   2	 1398	    0	    0	    1	  567	  355
    34 1.920000E-04 6.400000E-05 1.228800E-03   1	  621	    0	    0	  581
    35 6.688000E-04 6.848000E-04 6.752000E-04   2	 3469	 3437	    0	    0	  535	  599
    36 8.608000E-04 4.416000E-04 5.984000E-04   1	 3272	    0	    0	  601
    37 1.136000E-03 3.200000E-04 1.113600E-03   1	 3517	    0	    0	  619
    38 4.544000E-04 9.600000E-06 7.872000E-04   2	 2493	 1348	    0	    0	  622	  617
    39 2.624000E-04 1.030400E-03 3.072000E-04   1	   40	    0	    0	  632
    40 2.496000E-04 1.024000E-03 2.848000E-04   2	 3606	   39	    0	    0	  635	  632
    41 6.048000E-04 4.320000E-04 3.200000E-06   1	 1694	    0	    0	  637
    42 2.848000E-04 4.064000E-04 1.097600E-03   1	 1396	    0	    0	  639
    43 1.104000E-03 4.800000E-04 2.560000E-04   1	  377	    0	    0	  641
    44 1.273600E-03 4.960000E-04 8.640000E-05   2	 1023	    0	    0	    1	  654	  354
    45 9.056000E-04 5.504000E-04 3.872000E-04   1	 1091	    0	    0	  657
    46 9.728000E-04 2.848000E-04 6.400000E-05   2	 2721	 2169	    0	    0	  658	  449
    47 6.304000E-04 1.270400E-03 4.256000E-04   1	 2048	    0	    0	  663
    48 7.040000E-04 1.273600E-03 1.152000E-03   1	  107	    0	    0	  668
    49 1.065600E-03 2.912000E-04 3.328000E-04   1	 1676	    0	    0	  673
    50 1.100800E-03 1.030400E-03 1.273600E-03   1	 3555	    0	    0	  674
    51 9.920000E-05 7.584000E-04 1.273600E-03   1	 3325	    0	    0	  679
    52 6.944000E-04 2.880000E-05 1.216000E-04   1	 1777	    0	    0	  684
    53 1.216000E-03 7.744000E-04 2.784000E-04   1	 1446	    0	    0	  691
    54 1.920000E-05 7.680000E-04 1.792000E-04   2	 2429	   -1	    1	    0	  694	  353
    55 1.222400E-03 3.968000E-04 1.760000E-04   1	 2115	    0	    0	  695
    56 1.088000E-03 1.068800E-03 5.664000E-04   1	 3496	    0	    0	  700
    57 8.608000E-04 9.120000E-04 6.240000E-04   1	 3055	    0	    0	  703
    58 7.648000E-04 1.212800E-03 6.400000E-06   1	  547	    0	    0	  704
    59 7.360000E-04 1.270400E-03 4.896000E-04   1	 2820	    0	    0	  708
    60 9.600000E-06 1.792000E-04 5.344000E-04   2	 1483	   -1	    1	    0	  709	  352
    61 1.184000E-04 1.267200E-03 9.216000E-04   1	 1881	    0	    0	  712
    62 1.206400E-03 5.088000E-04 6.400000E-06   1	 1907	    0	    0	  723
    63 8.128000E-04 5.472000E-04 3.648000E-04   1	  390	    0	    0	  739
    64 1.052800E-03 1.116800E-03 4.352000E-04   1	 2686	    0	    0	  754
